"h_team","id","minute","result","X","Y","xG","player","h_a","player_id","situation","year","shotType","match_id","a_team","h_goals","a_goals","date","player_assisted","lastAction"
"Udinese",422381,43,"MissedShots",0.720999984741211,0.430999984741211,0.0139237493276596,"Jean-Victor Makengo","h",3536,"FromCorner",2020,"LeftFoot",15793,"Sampdoria",0,1,2021-05-16 13:00:00,NA,"None"
"Udinese",407183,7,"BlockedShot",0.809000015258789,0.472999992370605,0.046937108039856,"Franck Ribéry","a",329,"OpenPlay",2020,"RightFoot",15659,"Fiorentina",1,0,2021-02-28 14:00:00,"Lucas Martínez Quarta","Pass"
"Udinese",408635,74,"BlockedShot",0.91,0.419000015258789,0.0163341145962477,"Fernando Llorente","h",1728,"FromCorner",2020,"Head",15684,"Sassuolo",2,0,2021-03-06 17:00:00,"Rodrigo de Paul","Aerial"
"Udinese",422375,16,"MissedShots",0.905999984741211,0.490999984741211,0.0523987784981728,"Morten Thorsby","a",7939,"OpenPlay",2020,"Head",15793,"Sampdoria",0,1,2021-05-16 13:00:00,"Tommaso Augello","Chipped"
"Udinese",380095,64,"SavedShot",0.919000015258789,0.419000015258789,0.411948442459106,"Kevin Lasagna","h",1903,"OpenPlay",2020,"LeftFoot",14134,"Spezia",0,2,2020-09-30 16:00:00,"Fernando Forestieri","Pass"
"Udinese",407185,22,"SavedShot",0.950999984741211,0.349000015258789,0.288633227348328,"Jens Stryger Larsen","h",6262,"OpenPlay",2020,"RightFoot",15659,"Fiorentina",1,0,2021-02-28 14:00:00,"Rodrigo de Paul","Chipped"
"Udinese",416546,25,"SavedShot",0.844000015258789,0.355,0.0468387864530087,"Tolgay Arslan","h",4348,"OpenPlay",2020,"LeftFoot",15738,"Cagliari",0,1,2021-04-21 18:45:00,"Nahuel Molina","Pass"
"Udinese",382744,55,"MissedShots",0.718000030517578,0.646999969482422,0.0128779318183661,"Giuseppe Pezzella","a",1281,"FromCorner",2020,"LeftFoot",15463,"Parma Calcio 1913",3,2,2020-10-18 16:00:00,NA,"None"
"Udinese",419902,18,"SavedShot",0.654000015258789,0.560999984741211,0.00979803223162889,"Bram Nuytinck","h",6206,"OpenPlay",2020,"LeftFoot",15767,"Bologna",1,1,2021-05-08 13:00:00,"Rodrigo de Paul","Pass"
"Udinese",403700,40,"BlockedShot",0.894000015258789,0.632000007629395,0.0925684720277786,"Gerard Deulofeu","h",591,"OpenPlay",2020,"LeftFoot",15635,"Verona",2,0,2021-02-07 14:00:00,"Roberto Pereyra","Pass"
